bytes,content-type,elapsed,endpoint,resource,status,entry-date,start-date,end-date
11570078,application/json,3.153,48b0d08d547af3d959084610b07ac4c74ccf5306267827b63b40c4c698b7ff45,bb28d40c7da81971538ed1889f4d1c53aad2cc5637903a69005b22c4ff41245d,200,2021-10-18T20:11:58.862309,,
12244779,application/json,23.431,6b5a5ff541c241f71ac0c4187d0766c84fac32c2341ac1f32413371670df5128,a53c37ec4b8758235661aa5a5318454474f611f548fca208027e0d99dd22932b,200,2021-10-18T20:11:58.862309,,
11570078,application/json,0.757,48b0d08d547af3d959084610b07ac4c74ccf5306267827b63b40c4c698b7ff45,bb28d40c7da81971538ed1889f4d1c53aad2cc5637903a69005b22c4ff41245d,200,2021-10-19T01:11:49.860289,,
12244779,application/json,22.449,6b5a5ff541c241f71ac0c4187d0766c84fac32c2341ac1f32413371670df5128,a53c37ec4b8758235661aa5a5318454474f611f548fca208027e0d99dd22932b,200,2021-10-19T01:11:49.860289,,
11570078,application/json,1.632,48b0d08d547af3d959084610b07ac4c74ccf5306267827b63b40c4c698b7ff45,bb28d40c7da81971538ed1889f4d1c53aad2cc5637903a69005b22c4ff41245d,200,2021-10-20T01:11:21.599942,,
12244779,application/json,21.551,6b5a5ff541c241f71ac0c4187d0766c84fac32c2341ac1f32413371670df5128,a53c37ec4b8758235661aa5a5318454474f611f548fca208027e0d99dd22932b,200,2021-10-20T01:11:21.599942,,
11570078,application/json,0.758,48b0d08d547af3d959084610b07ac4c74ccf5306267827b63b40c4c698b7ff45,bb28d40c7da81971538ed1889f4d1c53aad2cc5637903a69005b22c4ff41245d,200,2021-10-21T01:16:05.434130,,
12244779,application/json,22.576,6b5a5ff541c241f71ac0c4187d0766c84fac32c2341ac1f32413371670df5128,a53c37ec4b8758235661aa5a5318454474f611f548fca208027e0d99dd22932b,200,2021-10-21T01:16:05.434130,,
11570078,application/json,1.726,48b0d08d547af3d959084610b07ac4c74ccf5306267827b63b40c4c698b7ff45,bb28d40c7da81971538ed1889f4d1c53aad2cc5637903a69005b22c4ff41245d,200,2021-10-22T01:18:03.162025,,
12244779,application/json,22.322,6b5a5ff541c241f71ac0c4187d0766c84fac32c2341ac1f32413371670df5128,a53c37ec4b8758235661aa5a5318454474f611f548fca208027e0d99dd22932b,200,2021-10-22T01:18:03.162025,,
11570078,application/json,2.284,48b0d08d547af3d959084610b07ac4c74ccf5306267827b63b40c4c698b7ff45,bb28d40c7da81971538ed1889f4d1c53aad2cc5637903a69005b22c4ff41245d,200,2021-10-23T01:10:03.605347,,
12244779,application/json,23.291,6b5a5ff541c241f71ac0c4187d0766c84fac32c2341ac1f32413371670df5128,a53c37ec4b8758235661aa5a5318454474f611f548fca208027e0d99dd22932b,200,2021-10-23T01:10:03.605347,,
11570078,application/json,0.742,48b0d08d547af3d959084610b07ac4c74ccf5306267827b63b40c4c698b7ff45,bb28d40c7da81971538ed1889f4d1c53aad2cc5637903a69005b22c4ff41245d,200,2021-10-24T01:08:25.131622,,
12244779,application/json,22.217,6b5a5ff541c241f71ac0c4187d0766c84fac32c2341ac1f32413371670df5128,a53c37ec4b8758235661aa5a5318454474f611f548fca208027e0d99dd22932b,200,2021-10-24T01:08:25.131622,,
11570078,application/json,0.933,48b0d08d547af3d959084610b07ac4c74ccf5306267827b63b40c4c698b7ff45,bb28d40c7da81971538ed1889f4d1c53aad2cc5637903a69005b22c4ff41245d,200,2021-10-25T01:10:25.048201,,
12244779,application/json,22.509,6b5a5ff541c241f71ac0c4187d0766c84fac32c2341ac1f32413371670df5128,a53c37ec4b8758235661aa5a5318454474f611f548fca208027e0d99dd22932b,200,2021-10-25T01:10:25.048201,,
11570078,application/json,0.875,48b0d08d547af3d959084610b07ac4c74ccf5306267827b63b40c4c698b7ff45,bb28d40c7da81971538ed1889f4d1c53aad2cc5637903a69005b22c4ff41245d,200,2021-10-26T01:04:57.303454,,
12244779,application/json,21.244,6b5a5ff541c241f71ac0c4187d0766c84fac32c2341ac1f32413371670df5128,a53c37ec4b8758235661aa5a5318454474f611f548fca208027e0d99dd22932b,200,2021-10-26T01:04:57.303454,,
